Date,SHLS
2022-11-23,30.8799991607666
2022-11-25,31.030000686645508
2022-11-28,29.049999237060547
2022-11-29,27.940000534057617
2022-11-30,28.969999313354492
2022-12-01,23.299999237060547
2022-12-02,24.790000915527344
2022-12-05,25.270000457763672
2022-12-06,24.0
2022-12-07,23.239999771118164
2022-12-08,24.670000076293945
2022-12-09,23.809999465942383
2022-12-12,24.049999237060547
2022-12-13,25.59000015258789
2022-12-14,27.139999389648438
2022-12-15,26.860000610351562
2022-12-16,26.719999313354492
2022-12-19,24.719999313354492
2022-12-20,25.200000762939453
2022-12-21,25.81999969482422
2022-12-22,25.920000076293945
2022-12-23,24.979999542236328
2022-12-27,23.760000228881836
2022-12-28,23.360000610351562
2022-12-29,24.459999084472656
2022-12-30,24.670000076293945
2023-01-03,23.940000534057617
