Date,GLDG
2022-11-09,0.8700000047683716
2022-11-10,0.9300000071525574
2022-11-11,0.8999999761581421
2022-11-14,0.9100000262260437
2022-11-15,0.9100000262260437
2022-11-16,0.9700000286102295
2022-11-17,0.9300000071525574
2022-11-18,0.949999988079071
2022-11-21,1.059999942779541
2022-11-22,1.2000000476837158
2022-11-23,1.2100000381469727
2022-11-25,1.2300000190734863
2022-11-28,1.25
2022-11-29,1.3700000047683716
2022-11-30,1.3700000047683716
2022-12-01,1.409999966621399
2022-12-02,1.5499999523162842
2022-12-05,1.409999966621399
2022-12-06,1.2400000095367432
2022-12-07,1.2899999618530273
2022-12-08,1.350000023841858
2022-12-09,1.2999999523162842
2022-12-12,1.3200000524520874
2022-12-13,1.3300000429153442
2022-12-14,1.2799999713897705
2022-12-15,1.1799999475479126
