Date,ESPR
2022-11-23,6.75
2022-11-25,6.860000133514404
2022-11-28,6.590000152587891
2022-11-29,6.539999961853027
2022-11-30,6.699999809265137
2022-12-01,6.940000057220459
2022-12-02,7.389999866485596
2022-12-05,7.489999771118164
2022-12-06,7.440000057220459
2022-12-07,6.329999923706055
2022-12-08,6.179999828338623
2022-12-09,5.090000152587891
2022-12-12,5.369999885559082
2022-12-13,5.599999904632568
2022-12-14,5.820000171661377
2022-12-15,5.849999904632568
2022-12-16,6.139999866485596
2022-12-19,5.900000095367432
2022-12-20,6.239999771118164
2022-12-21,6.440000057220459
2022-12-22,6.360000133514404
2022-12-23,6.070000171661377
2022-12-27,5.869999885559082
2022-12-28,5.900000095367432
2022-12-29,5.860000133514404
2022-12-30,6.230000019073486
2023-01-03,5.840000152587891
