Date,BARK
2022-11-16,1.8799999952316284
2022-11-17,1.8300000429153442
2022-11-18,1.7699999809265137
2022-11-21,1.7799999713897705
2022-11-22,1.6699999570846558
2022-11-23,1.6100000143051147
2022-11-25,1.5800000429153442
2022-11-28,1.559999942779541
2022-11-29,1.5399999618530273
2022-11-30,1.659999966621399
2022-12-01,1.7000000476837158
2022-12-02,1.7300000190734863
2022-12-05,1.590000033378601
2022-12-06,1.5
2022-12-07,1.5099999904632568
2022-12-08,1.590000033378601
2022-12-09,1.5499999523162842
2022-12-12,1.5399999618530273
2022-12-13,1.6100000143051147
2022-12-14,1.5700000524520874
2022-12-15,1.4900000095367432
2022-12-16,1.4299999475479126
2022-12-19,1.440000057220459
2022-12-20,1.4600000381469727
2022-12-21,1.399999976158142
