Date,ALLK
2022-11-21,7.099999904632568
2022-11-22,7.300000190734863
2022-11-23,7.269999980926514
2022-11-25,7.440000057220459
2022-11-28,7.360000133514404
2022-11-29,7.940000057220459
2022-11-30,8.25
2022-12-01,8.300000190734863
2022-12-02,8.319999694824219
2022-12-05,8.140000343322754
2022-12-06,7.949999809265137
2022-12-07,7.579999923706055
2022-12-08,7.650000095367432
2022-12-09,7.480000019073486
2022-12-12,7.070000171661377
2022-12-13,7.079999923706055
2022-12-14,7.010000228881836
2022-12-15,7.190000057220459
2022-12-16,7.440000057220459
2022-12-19,6.949999809265137
2022-12-20,6.96999979019165
2022-12-21,7.840000152587891
2022-12-22,8.09000015258789
2022-12-23,7.739999771118164
2022-12-27,7.46999979019165
2022-12-28,7.400000095367432
2022-12-29,8.220000267028809
