Date,DUO
2022-12-13,12.149999618530273
2022-12-14,12.300000190734863
2022-12-15,11.25
2022-12-16,11.90999984741211
2022-12-19,11.699999809265137
2022-12-20,11.444999694824219
2022-12-21,11.550000190734863
2022-12-22,11.550000190734863
2022-12-23,12.0
2022-12-27,11.520000457763672
2022-12-28,11.25
2022-12-29,11.984999656677246
2022-12-30,11.53499984741211
2023-01-03,12.210000038146973
2023-01-04,12.3149995803833
2023-01-05,12.180000305175781
2023-01-06,12.270000457763672
2023-01-09,13.050000190734863
2023-01-10,13.350000381469727
2023-01-11,15.75
2023-01-12,15.300000190734863
2023-01-13,12.899999618530273
2023-01-17,13.604999542236328
2023-01-18,13.199999809265137
2023-01-19,13.515000343322754
2023-01-20,13.350000381469727
2023-01-23,14.25
2023-01-24,14.954999923706055
