Date,PBM
2022-12-01,10.25
2022-12-02,10.255000114440918
2022-12-05,10.260000228881836
2022-12-06,10.260000228881836
2022-12-07,10.260000228881836
2022-12-08,10.260000228881836
2022-12-09,10.260000228881836
2022-12-12,10.270000457763672
2022-12-13,10.300000190734863
2022-12-14,10.300000190734863
2022-12-15,10.300000190734863
2022-12-16,10.300000190734863
2022-12-19,10.270000457763672
2022-12-20,10.270000457763672
2022-12-21,10.270000457763672
2022-12-22,10.270000457763672
2022-12-23,10.270000457763672
2022-12-27,10.260000228881836
2022-12-28,10.260000228881836
2022-12-29,10.289999961853027
2022-12-30,10.279999732971191
2023-01-03,10.270000457763672
2023-01-04,10.29800033569336
2023-01-05,10.265000343322754
2023-01-06,10.279999732971191
2023-01-09,10.317999839782715
2023-01-10,10.350000381469727
