Date,LUCD
2022-11-15,2.0
2022-11-16,1.899999976158142
2022-11-17,1.909999966621399
2022-11-18,1.909999966621399
2022-11-21,1.9800000190734863
2022-11-22,1.9299999475479126
2022-11-23,1.9800000190734863
2022-11-25,2.059999942779541
2022-11-28,2.0199999809265137
2022-11-29,1.9500000476837158
2022-11-30,1.8600000143051147
2022-12-01,1.8799999952316284
2022-12-02,2.0
2022-12-05,1.9700000286102295
2022-12-06,1.8899999856948853
2022-12-07,1.809999942779541
2022-12-08,1.909999966621399
2022-12-09,1.8899999856948853
2022-12-12,1.7799999713897705
2022-12-13,1.7200000286102295
2022-12-14,1.6699999570846558
2022-12-15,1.6299999952316284
2022-12-16,1.6100000143051147
2022-12-19,1.590000033378601
2022-12-20,1.5800000429153442
2022-12-21,1.5499999523162842
