Date,FTCI
2022-11-18,2.190000057220459
2022-11-21,2.130000114440918
2022-11-22,2.0899999141693115
2022-11-23,2.2799999713897705
2022-11-25,2.180000066757202
2022-11-28,1.9600000381469727
2022-11-29,1.9600000381469727
2022-11-30,2.119999885559082
2022-12-01,2.2799999713897705
2022-12-02,2.440000057220459
2022-12-05,2.4100000858306885
2022-12-06,2.259999990463257
2022-12-07,2.390000104904175
2022-12-08,2.5299999713897705
2022-12-09,2.630000114440918
2022-12-12,2.569999933242798
2022-12-13,2.7100000381469727
2022-12-14,2.8299999237060547
2022-12-15,2.5999999046325684
2022-12-16,2.630000114440918
2022-12-19,2.450000047683716
2022-12-20,2.390000104904175
2022-12-21,2.5999999046325684
2022-12-22,2.4700000286102295
2022-12-23,2.369999885559082
