Date,SURG
2022-11-22,5.829999923706055
2022-11-23,6.050000190734863
2022-11-25,6.320000171661377
2022-11-28,6.210000038146973
2022-11-29,6.355000019073486
2022-11-30,6.590000152587891
2022-12-01,7.139999866485596
2022-12-02,7.480000019073486
2022-12-05,7.039999961853027
2022-12-06,7.050000190734863
2022-12-07,6.940000057220459
2022-12-08,7.5
2022-12-09,7.25
2022-12-12,7.329999923706055
2022-12-13,6.949999809265137
2022-12-14,7.059999942779541
2022-12-15,7.28000020980835
2022-12-16,7.389999866485596
2022-12-19,7.110000133514404
2022-12-20,6.900000095367432
2022-12-21,6.909999847412109
2022-12-22,6.289999961853027
2022-12-23,6.289999961853027
2022-12-27,6.400000095367432
2022-12-28,6.510000228881836
2022-12-29,6.659999847412109
2022-12-30,6.559999942779541
