Date,ADTX
2023-10-04,487.6000061035156
2023-10-05,471.20001220703125
2023-10-06,486.0
2023-10-09,458.0
2023-10-10,416.3999938964844
2023-10-11,425.79998779296875
2023-10-12,414.79998779296875
2023-10-13,400.79998779296875
2023-10-16,392.3999938964844
2023-10-17,398.3999938964844
2023-10-18,408.0
2023-10-19,383.20001220703125
2023-10-20,362.0
2023-10-23,332.0
2023-10-24,323.20001220703125
2023-10-25,314.3999938964844
2023-10-26,288.0
2023-10-27,285.6000061035156
2023-10-30,263.67999267578125
2023-10-31,270.0
2023-11-01,276.3999938964844
2023-11-02,276.79998779296875
2023-11-03,261.20001220703125
2023-11-06,246.0
2023-11-07,238.0
2023-11-08,200.39999389648438
2023-11-09,174.36000061035156
2023-11-10,166.8000030517578
2023-11-13,166.8000030517578
2023-11-14,193.1999969482422
2023-11-15,182.39999389648438
2023-11-16,157.60000610351562
2023-11-17,140.0
2023-11-20,142.8000030517578
2023-11-21,138.39999389648438
2023-11-22,136.39999389648438
2023-11-24,145.1999969482422
2023-11-27,142.0
2023-11-28,140.0
2023-11-29,140.0
2023-11-30,158.8000030517578
2023-12-01,136.0
2023-12-04,159.1999969482422
2023-12-05,138.8000030517578
2023-12-06,135.60000610351562
2023-12-07,148.39999389648438
2023-12-08,137.1999969482422
2023-12-11,152.0
2023-12-12,243.60000610351562
2023-12-13,251.60000610351562
2023-12-14,210.0
2023-12-15,199.1999969482422
2023-12-18,172.8000030517578
2023-12-19,183.1999969482422
2023-12-20,190.39999389648438
2023-12-21,177.60000610351562
2023-12-22,182.0
2023-12-26,179.1999969482422
2023-12-27,188.39999389648438
2023-12-28,192.8000030517578
2023-12-29,265.20001220703125
2024-01-02,192.0
2024-01-03,213.60000610351562
2024-01-04,204.8000030517578
2024-01-05,203.60000610351562
2024-01-08,206.39999389648438
2024-01-09,211.1999969482422
2024-01-10,244.8000030517578
2024-01-11,216.0
2024-01-12,207.1999969482422
2024-01-16,183.60000610351562
2024-01-17,182.0
2024-01-18,178.0
2024-01-19,160.0
2024-01-22,161.1999969482422
2024-01-23,162.39999389648438
2024-01-24,161.60000610351562
2024-01-25,155.60000610351562
2024-01-26,156.39999389648438
2024-01-29,162.39999389648438
2024-01-30,157.1999969482422
2024-01-31,154.0
2024-02-01,149.60000610351562
2024-02-02,149.1999969482422
2024-02-05,145.1999969482422
2024-02-06,148.0
2024-02-07,150.39999389648438
2024-02-08,153.60000610351562
2024-02-09,145.60000610351562
2024-02-12,148.39999389648438
2024-02-13,156.0
2024-02-14,155.60000610351562
2024-02-15,150.39999389648438
2024-02-16,153.1999969482422
2024-02-20,160.0
2024-02-21,148.8000030517578
2024-02-22,147.1999969482422
2024-02-23,138.39999389648438
2024-02-26,138.8000030517578
2024-02-27,146.0
2024-02-28,138.0
2024-02-29,139.60000610351562
2024-03-01,136.39999389648438
2024-03-04,139.60000610351562
2024-03-05,136.8000030517578
2024-03-06,139.1999969482422
2024-03-07,158.0
2024-03-08,148.8000030517578
2024-03-11,149.1999969482422
2024-03-12,147.60000610351562
2024-03-13,150.8000030517578
2024-03-14,149.1999969482422
2024-03-15,134.8000030517578
