Date,MULN
2023-05-12,114300.0
2023-05-15,112500.0
2023-05-16,109800.0
2023-05-17,110700.0
2023-05-18,107100.0
2023-05-19,96300.0
2023-05-22,85500.0
2023-05-23,81900.0
2023-05-24,72000.0
2023-05-25,85500.0
2023-05-26,72900.0
2023-05-30,68400.0
2023-05-31,65700.0
2023-06-01,66600.0
2023-06-02,67500.0
2023-06-05,63000.0
2023-06-06,54900.0
2023-06-07,46800.0
2023-06-08,42300.0
2023-06-09,38700.0
2023-06-12,35100.0
2023-06-13,28800.0
2023-06-14,20700.0
2023-06-15,23400.0
2023-06-16,20700.0
2023-06-20,14400.0
2023-06-21,18000.0
2023-06-22,16200.0
2023-06-23,15300.0
2023-06-26,15300.0
2023-06-27,12600.0
2023-06-28,9900.0
2023-06-29,10800.0
2023-06-30,9900.0
2023-07-03,9000.0
2023-07-05,15300.0
2023-07-06,19800.0
2023-07-07,17100.0
2023-07-10,17100.0
2023-07-11,16200.0
2023-07-12,12600.0
2023-07-13,14400.0
2023-07-14,14400.0
2023-07-17,14400.0
2023-07-18,14400.0
2023-07-19,13500.0
2023-07-20,13500.0
2023-07-21,12600.0
2023-07-24,12600.0
2023-07-25,11700.0
2023-07-26,11700.0
2023-07-27,10800.0
2023-07-28,10800.0
2023-07-31,11700.0
2023-08-01,11700.0
2023-08-02,10800.0
2023-08-03,12600.0
2023-08-04,10800.0
2023-08-07,9900.0
2023-08-08,9900.0
2023-08-09,9900.0
2023-08-10,9900.0
2023-08-11,10100.0
2023-08-14,10200.0
2023-08-15,10200.0
2023-08-16,9800.0
2023-08-17,7900.0
2023-08-18,6400.0
2023-08-21,6200.0
2023-08-22,4800.0
2023-08-23,8000.0
2023-08-24,7400.0
2023-08-25,6500.0
2023-08-28,6000.0
2023-08-29,6000.0
2023-08-30,5600.0
2023-08-31,5300.0
2023-09-01,4600.0
2023-09-05,4900.0
2023-09-06,4500.0
2023-09-07,4200.0
2023-09-08,4200.0
2023-09-11,4400.0
2023-09-12,4900.0
2023-09-13,5000.0
2023-09-14,5700.0
2023-09-15,6800.0
2023-09-18,6000.0
2023-09-19,5900.0
2023-09-20,5500.0
2023-09-21,5600.0
2023-09-22,5300.0
2023-09-25,5600.0
2023-09-26,5200.0
2023-09-27,4800.0
2023-09-28,4400.0
2023-09-29,4500.0
2023-10-02,4500.0
2023-10-03,4600.0
2023-10-04,4800.0
2023-10-05,4700.0
2023-10-06,4700.0
2023-10-09,4500.0
2023-10-10,4600.0
2023-10-11,4400.0
2023-10-12,4200.0
2023-10-13,3900.0
2023-10-16,3600.0
2023-10-17,3600.0
2023-10-18,3400.0
2023-10-19,2700.0
2023-10-20,2500.0
2023-10-23,2200.0
2023-10-24,3100.0
2023-10-25,2600.0
2023-10-26,3100.0
2023-10-27,2800.0
2023-10-30,2500.0
2023-10-31,2700.0
2023-11-01,2700.0
2023-11-02,3000.0
2023-11-03,3000.0
2023-11-06,3100.0
2023-11-07,2800.0
2023-11-08,2400.0
2023-11-09,2200.0
2023-11-10,2000.0
2023-11-13,1900.0
2023-11-14,1800.0
2023-11-15,1800.0
2023-11-16,1800.0
2023-11-17,1900.0
2023-11-20,1900.0
2023-11-21,1800.0
2023-11-22,1800.0
2023-11-24,1800.0
2023-11-27,1800.0
2023-11-28,1600.0
2023-11-29,1600.0
2023-11-30,1500.0
2023-12-01,1600.0
2023-12-04,2100.0
2023-12-05,1700.0
2023-12-06,1600.0
2023-12-07,1600.0
2023-12-08,1500.0
2023-12-11,1300.0
2023-12-12,1300.0
2023-12-13,1300.0
2023-12-14,1300.0
2023-12-15,1400.0
2023-12-18,1100.0
2023-12-19,900.0
2023-12-20,800.0
2023-12-21,1425.0
2023-12-22,984.0
2023-12-26,1104.0
2023-12-27,1100.0
2023-12-28,1412.0
2023-12-29,1429.0
2024-01-02,1286.0
2024-01-03,1266.0
2024-01-04,1269.0
2024-01-05,1340.0
2024-01-08,1304.0
2024-01-09,1432.0
2024-01-10,1377.0
2024-01-11,1235.0
2024-01-12,1103.0
2024-01-16,1169.0
2024-01-17,1052.0
2024-01-18,898.0
2024-01-19,782.0
2024-01-22,759.0
2024-01-23,711.0
2024-01-24,661.0
2024-01-25,686.0
2024-01-26,668.0
2024-01-29,779.0
