Date,NIVF
2022-12-13,10.180000305175781
2022-12-14,10.1899995803833
2022-12-15,10.170000076293945
2022-12-16,10.170000076293945
2022-12-19,10.15999984741211
2022-12-20,10.170000076293945
2022-12-21,10.170000076293945
2022-12-22,10.1899995803833
2022-12-23,10.1899995803833
2022-12-27,10.180000305175781
2022-12-28,10.199999809265137
2022-12-29,10.199999809265137
2022-12-30,10.199999809265137
2023-01-03,10.1899995803833
2023-01-04,10.220000267028809
2023-01-05,10.199999809265137
2023-01-06,10.199999809265137
2023-01-09,10.199999809265137
2023-01-10,10.199999809265137
2023-01-11,10.25
2023-01-12,10.260000228881836
2023-01-13,10.25
2023-01-17,10.25
2023-01-18,10.279999732971191
2023-01-19,10.279999732971191
2023-01-20,10.279999732971191
2023-01-23,10.289999961853027
