Date,MCRB
2022-11-23,7.059999942779541
2022-11-25,7.150000095367432
2022-11-28,7.050000190734863
2022-11-29,6.650000095367432
2022-11-30,6.5
2022-12-01,6.670000076293945
2022-12-02,7.130000114440918
2022-12-05,6.53000020980835
2022-12-06,6.230000019073486
2022-12-07,6.110000133514404
2022-12-08,6.53000020980835
2022-12-09,6.539999961853027
2022-12-12,6.5
2022-12-13,6.670000076293945
2022-12-14,6.190000057220459
2022-12-15,5.840000152587891
2022-12-16,5.75
2022-12-19,5.309999942779541
2022-12-20,5.559999942779541
2022-12-21,5.710000038146973
2022-12-22,5.440000057220459
2022-12-23,5.239999771118164
2022-12-27,5.090000152587891
2022-12-28,5.139999866485596
2022-12-29,5.610000133514404
2022-12-30,5.599999904632568
2023-01-03,5.400000095367432
2023-01-04,5.46999979019165
