Date,CNSP
2024-02-16,14.25
2024-02-20,14.5
2024-02-21,14.300000190734863
2024-02-22,13.75
2024-02-23,13.399999618530273
2024-02-26,12.550000190734863
2024-02-27,12.899999618530273
2024-02-28,13.050000190734863
2024-02-29,13.899999618530273
2024-03-01,15.5
2024-03-04,18.5
2024-03-05,19.399999618530273
2024-03-06,22.450000762939453
2024-03-07,21.950000762939453
2024-03-08,21.5
2024-03-11,21.799999237060547
2024-03-12,21.649999618530273
2024-03-13,19.299999237060547
2024-03-14,19.950000762939453
2024-03-15,17.799999237060547
2024-03-18,18.299999237060547
2024-03-19,17.299999237060547
2024-03-20,18.100000381469727
2024-03-21,17.549999237060547
2024-03-22,18.899999618530273
2024-03-25,18.899999618530273
2024-03-26,18.75
2024-03-27,18.5
2024-03-28,18.100000381469727
2024-04-01,18.0
2024-04-02,15.399999618530273
2024-04-03,14.600000381469727
2024-04-04,14.100000381469727
2024-04-05,12.949999809265137
2024-04-08,11.199999809265137
2024-04-09,11.449999809265137
2024-04-10,11.600000381469727
2024-04-11,12.0
2024-04-12,12.149999618530273
2024-04-15,12.199999809265137
2024-04-16,10.449999809265137
2024-04-17,10.199999809265137
2024-04-18,10.199999809265137
2024-04-19,10.100000381469727
2024-04-22,9.949999809265137
2024-04-23,10.5
2024-04-24,10.699999809265137
2024-04-25,10.199999809265137
2024-04-26,10.75
2024-04-29,10.75
2024-04-30,10.550000190734863
2024-05-01,10.899999618530273
2024-05-02,10.800000190734863
2024-05-03,11.050000190734863
2024-05-06,10.100000381469727
2024-05-07,10.850000381469727
2024-05-08,12.0
2024-05-09,10.449999809265137
2024-05-10,9.800000190734863
2024-05-13,10.199999809265137
2024-05-14,10.399999618530273
2024-05-15,10.0
2024-05-16,11.25
2024-05-17,10.850000381469727
2024-05-20,10.800000190734863
2024-05-21,10.75
2024-05-22,10.350000381469727
2024-05-23,10.75
2024-05-24,10.5
2024-05-28,10.25
2024-05-29,10.550000190734863
2024-05-30,10.899999618530273
2024-05-31,10.800000190734863
2024-06-03,6.5
2024-06-04,6.449999809265137
2024-06-05,5.389999866485596
2024-06-06,5.349999904632568
2024-06-07,5.050000190734863
2024-06-10,3.6500000953674316
2024-06-11,3.450000047683716
2024-06-12,3.130000114440918
2024-06-13,3.619999885559082
2024-06-14,2.7899999618530273
2024-06-17,2.9000000953674316
2024-06-18,2.4200000762939453
2024-06-20,2.130000114440918
2024-06-21,1.9800000190734863
2024-06-24,2.2300000190734863
2024-06-25,2.8399999141693115
2024-06-26,1.840000033378601
2024-06-27,1.659999966621399
2024-06-28,1.5800000429153442
2024-07-01,1.4199999570846558
2024-07-02,1.2599999904632568
2024-07-03,1.4600000381469727
2024-07-05,1.2200000286102295
2024-07-08,1.159999966621399
2024-07-09,1.0299999713897705
2024-07-10,1.0499999523162842
2024-07-11,1.2599999904632568
2024-07-12,1.2300000190734863
2024-07-15,1.1799999475479126
2024-07-16,1.1100000143051147
2024-07-17,1.100000023841858
2024-07-18,1.1399999856948853
2024-07-19,1.0499999523162842
2024-07-22,1.059999942779541
2024-07-23,1.0700000524520874
2024-07-24,1.0800000429153442
2024-07-25,1.1299999952316284
2024-07-26,1.0700000524520874
2024-07-29,1.0399999618530273
2024-07-30,0.4099999964237213
2024-07-31,0.31700000166893005
2024-08-01,0.29100000858306885
2024-08-02,0.25099998712539673
2024-08-05,0.1940000057220459
2024-08-06,0.17100000381469727
2024-08-07,0.18700000643730164
2024-08-08,0.17499999701976776
2024-08-09,0.17800000309944153
2024-08-12,0.16200000047683716
2024-08-13,0.1469999998807907
2024-08-14,0.13899999856948853
2024-08-15,0.14100000262260437
2024-08-16,0.13300000131130219
2024-08-19,0.14399999380111694
2024-08-20,0.17000000178813934
2024-08-21,0.16599999368190765
2024-08-22,0.17299999296665192
2024-08-23,0.19499999284744263
2024-08-26,0.18000000715255737
2024-08-27,0.16699999570846558
2024-08-28,0.15299999713897705
2024-08-29,0.1469999998807907
2024-08-30,0.15700000524520874
2024-09-03,0.1509999930858612
2024-09-04,0.14900000393390656
2024-09-05,0.15000000596046448
2024-09-06,0.14300000667572021
2024-09-09,0.1420000046491623
2024-09-10,0.1459999978542328
2024-09-11,0.15800000727176666
2024-09-12,0.14900000393390656
2024-09-13,0.14800000190734863
2024-09-16,0.15199999511241913
2024-09-17,0.15299999713897705
2024-09-18,0.1599999964237213
2024-09-19,0.1509999930858612
2024-09-20,0.14300000667572021
