Date,AEVA
2022-12-08,7.650000095367432
2022-12-09,7.650000095367432
2022-12-12,7.800000190734863
2022-12-13,7.699999809265137
2022-12-14,7.699999809265137
2022-12-15,7.650000095367432
2022-12-16,7.400000095367432
2022-12-19,7.099999904632568
2022-12-20,7.099999904632568
2022-12-21,7.0
2022-12-22,6.550000190734863
2022-12-23,6.349999904632568
2022-12-27,6.099999904632568
2022-12-28,6.199999809265137
2022-12-29,6.699999809265137
2022-12-30,6.800000190734863
2023-01-03,6.400000095367432
2023-01-04,6.400000095367432
2023-01-05,5.949999809265137
2023-01-06,6.349999904632568
2023-01-09,6.900000095367432
2023-01-10,7.25
2023-01-11,7.650000095367432
2023-01-12,8.350000381469727
2023-01-13,8.449999809265137
2023-01-17,8.550000190734863
2023-01-18,8.449999809265137
