Date,BEN
2022-11-23,26.549999237060547
2022-11-25,26.770000457763672
2022-11-28,26.020000457763672
2022-11-29,26.299999237060547
2022-11-30,26.809999465942383
2022-12-01,27.280000686645508
2022-12-02,27.25
2022-12-05,27.110000610351562
2022-12-06,26.600000381469727
2022-12-07,26.780000686645508
2022-12-08,26.8700008392334
2022-12-09,26.59000015258789
2022-12-12,27.040000915527344
2022-12-13,27.700000762939453
2022-12-14,27.100000381469727
2022-12-15,26.079999923706055
2022-12-16,25.739999771118164
2022-12-19,25.780000686645508
2022-12-20,26.010000228881836
2022-12-21,26.90999984741211
2022-12-22,26.59000015258789
2022-12-23,26.850000381469727
2022-12-27,26.90999984741211
2022-12-28,26.15999984741211
2022-12-29,26.829999923706055
2022-12-30,26.3799991607666
2023-01-03,27.1200008392334
