Date,EQT
2022-11-25,43.029998779296875
2022-11-28,41.52000045776367
2022-11-29,42.65999984741211
2022-11-30,42.40999984741211
2022-12-01,41.52000045776367
2022-12-02,39.93000030517578
2022-12-05,37.06999969482422
2022-12-06,36.90999984741211
2022-12-07,36.72999954223633
2022-12-08,35.689998626708984
2022-12-09,35.66999816894531
2022-12-12,36.90999984741211
2022-12-13,37.11000061035156
2022-12-14,37.810001373291016
2022-12-15,38.22999954223633
2022-12-16,37.2400016784668
2022-12-19,36.11000061035156
2022-12-20,36.13999938964844
2022-12-21,36.63999938964844
2022-12-22,35.0
2022-12-23,36.209999084472656
2022-12-27,36.34000015258789
2022-12-28,33.5
2022-12-29,33.869998931884766
2022-12-30,33.83000183105469
2023-01-03,31.81999969482422
2023-01-04,33.209999084472656
2023-01-05,32.08000183105469
