Date,LEN
2022-11-25,86.37999725341797
2022-11-28,85.3499984741211
2022-11-29,86.4000015258789
2022-11-30,87.83000183105469
2022-12-01,88.16000366210938
2022-12-02,88.30000305175781
2022-12-05,87.3499984741211
2022-12-06,85.9000015258789
2022-12-07,89.0
2022-12-08,89.43000030517578
2022-12-09,88.5
2022-12-12,89.0
2022-12-13,90.58999633789062
2022-12-14,90.81999969482422
2022-12-15,94.29000091552734
2022-12-16,92.19999694824219
2022-12-19,90.0999984741211
2022-12-20,89.0
2022-12-21,90.56999969482422
2022-12-22,91.04000091552734
2022-12-23,90.62000274658203
2022-12-27,90.69999694824219
2022-12-28,88.5
2022-12-29,90.66999816894531
2022-12-30,90.5
2023-01-03,91.9800033569336
2023-01-04,93.61000061035156
2023-01-05,93.77999877929688
2023-01-06,95.66000366210938
