Date,MPWR
2022-11-29,354.95001220703125
2022-11-30,381.9599914550781
2022-12-01,382.07000732421875
2022-12-02,383.2099914550781
2022-12-05,375.05999755859375
2022-12-06,363.8599853515625
2022-12-07,367.7699890136719
2022-12-08,385.3500061035156
2022-12-09,386.1000061035156
2022-12-12,393.0299987792969
2022-12-13,401.5199890136719
2022-12-14,395.3900146484375
2022-12-15,373.29998779296875
2022-12-16,367.0299987792969
2022-12-19,359.010009765625
2022-12-20,357.8699951171875
2022-12-21,367.0
2022-12-22,347.6000061035156
2022-12-23,350.6099853515625
2022-12-27,342.2799987792969
2022-12-28,340.2799987792969
2022-12-29,353.4200134277344
2022-12-30,353.6099853515625
2023-01-03,342.95001220703125
2023-01-04,357.8299865722656
2023-01-05,347.05999755859375
2023-01-06,367.45001220703125
