Date,AJG
2022-11-28,196.42999267578125
2022-11-29,195.67999267578125
2022-11-30,199.11000061035156
2022-12-01,199.72000122070312
2022-12-02,201.25999450683594
2022-12-05,196.8300018310547
2022-12-06,195.97999572753906
2022-12-07,193.9600067138672
2022-12-08,195.02999877929688
2022-12-09,191.8300018310547
2022-12-12,193.74000549316406
2022-12-13,193.85000610351562
2022-12-14,193.11000061035156
2022-12-15,188.10000610351562
2022-12-16,186.35000610351562
2022-12-19,185.08999633789062
2022-12-20,186.88999938964844
2022-12-21,189.47999572753906
2022-12-22,188.02999877929688
2022-12-23,188.41000366210938
2022-12-27,189.27999877929688
2022-12-28,187.9499969482422
2022-12-29,190.1699981689453
2022-12-30,188.5399932861328
2023-01-03,187.25999450683594
2023-01-04,189.74000549316406
2023-01-05,186.44000244140625
