Date,FAST
2022-11-23,52.40999984741211
2022-11-25,52.33000183105469
2022-11-28,51.189998626708984
2022-11-29,50.27000045776367
2022-11-30,51.5099983215332
2022-12-01,51.560001373291016
2022-12-02,51.43000030517578
2022-12-05,50.88999938964844
2022-12-06,50.13999938964844
2022-12-07,50.25
2022-12-08,51.16999816894531
2022-12-09,50.959999084472656
2022-12-12,51.66999816894531
2022-12-13,50.13999938964844
2022-12-14,49.58000183105469
2022-12-15,47.970001220703125
2022-12-16,47.869998931884766
2022-12-19,47.75
2022-12-20,47.650001525878906
2022-12-21,47.939998626708984
2022-12-22,47.689998626708984
2022-12-23,47.7599983215332
2022-12-27,47.4900016784668
2022-12-28,46.84000015258789
2022-12-29,47.560001373291016
2022-12-30,47.31999969482422
2023-01-03,47.400001525878906
2023-01-04,47.970001220703125
