Date,EFX
2022-11-28,190.7899932861328
2022-11-29,188.9199981689453
2022-11-30,197.3699951171875
2022-12-01,202.25
2022-12-02,201.3800048828125
2022-12-05,193.67999267578125
2022-12-06,194.05999755859375
2022-12-07,193.83999633789062
2022-12-08,198.0800018310547
2022-12-09,197.4499969482422
2022-12-12,198.66000366210938
2022-12-13,206.9600067138672
2022-12-14,202.9499969482422
2022-12-15,197.80999755859375
2022-12-16,191.89999389648438
2022-12-19,191.1699981689453
2022-12-20,190.1999969482422
2022-12-21,197.02000427246094
2022-12-22,194.22000122070312
2022-12-23,195.72999572753906
2022-12-27,194.33999633789062
2022-12-28,190.1999969482422
2022-12-29,196.7899932861328
2022-12-30,194.36000061035156
2023-01-03,198.30999755859375
2023-01-04,204.61000061035156
2023-01-05,198.10000610351562
