Date,VST
2022-11-30,24.329999923706055
2022-12-01,24.530000686645508
2022-12-02,23.989999771118164
2022-12-05,23.440000534057617
2022-12-06,23.719999313354492
2022-12-07,23.639999389648438
2022-12-08,23.59000015258789
2022-12-09,23.860000610351562
2022-12-12,24.219999313354492
2022-12-13,24.290000915527344
2022-12-14,24.350000381469727
2022-12-15,24.329999923706055
2022-12-16,24.06999969482422
2022-12-19,23.860000610351562
2022-12-20,23.81999969482422
2022-12-21,24.170000076293945
2022-12-22,23.549999237060547
2022-12-23,23.8700008392334
2022-12-27,23.690000534057617
2022-12-28,23.65999984741211
2022-12-29,24.06999969482422
2022-12-30,23.200000762939453
2023-01-03,22.270000457763672
2023-01-04,22.75
2023-01-05,22.31999969482422
2023-01-06,22.510000228881836
2023-01-09,22.530000686645508
