Date,FMC
2022-11-28,127.04000091552734
2022-11-29,127.70999908447266
2022-11-30,130.63999938964844
2022-12-01,130.02999877929688
2022-12-02,134.36000061035156
2022-12-05,130.72999572753906
2022-12-06,127.94000244140625
2022-12-07,127.91999816894531
2022-12-08,127.98999786376953
2022-12-09,126.5999984741211
2022-12-12,126.29000091552734
2022-12-13,127.5999984741211
2022-12-14,126.79000091552734
2022-12-15,125.16999816894531
2022-12-16,124.30000305175781
2022-12-19,122.76000213623047
2022-12-20,124.16999816894531
2022-12-21,125.08999633789062
2022-12-22,124.66999816894531
2022-12-23,126.33999633789062
2022-12-27,126.54000091552734
2022-12-28,124.66000366210938
2022-12-29,124.94000244140625
2022-12-30,124.80000305175781
2023-01-03,124.91999816894531
2023-01-04,122.94000244140625
