Date,EBAY
2022-09-22,38.29999923706055
2022-09-23,38.189998626708984
2022-09-26,38.130001068115234
2022-09-27,37.56999969482422
2022-09-28,38.61000061035156
2022-09-29,37.689998626708984
2022-09-30,36.810001373291016
2022-10-03,37.220001220703125
2022-10-04,38.66999816894531
2022-10-05,39.119998931884766
2022-10-06,38.88999938964844
2022-10-07,37.54999923706055
2022-10-10,37.560001373291016
2022-10-11,36.95000076293945
2022-10-12,37.130001068115234
2022-10-13,37.959999084472656
2022-10-14,37.08000183105469
2022-10-17,37.849998474121094
2022-10-18,38.5
2022-10-19,37.810001373291016
2022-10-20,37.619998931884766
2022-10-21,38.40999984741211
2022-10-24,38.68000030517578
2022-10-25,38.970001220703125
2022-10-26,39.56999969482422
2022-10-27,39.849998474121094
2022-10-28,40.31999969482422
2022-10-31,39.84000015258789
2022-11-01,39.810001373291016
2022-11-02,38.060001373291016
2022-11-03,38.81999969482422
2022-11-04,40.06999969482422
2022-11-07,40.58000183105469
2022-11-08,41.599998474121094
2022-11-09,40.56999969482422
2022-11-10,44.65999984741211
2022-11-11,46.5099983215332
2022-11-14,45.90999984741211
2022-11-15,47.02000045776367
2022-11-16,45.4900016784668
2022-11-17,45.470001220703125
2022-11-18,45.68000030517578
2022-11-21,44.72999954223633
2022-11-22,45.130001068115234
2022-11-23,45.22999954223633
