Date,PNR
2022-11-25,46.189998626708984
2022-11-28,44.529998779296875
2022-11-29,44.68000030517578
2022-11-30,45.77000045776367
2022-12-01,46.63999938964844
2022-12-02,46.650001525878906
2022-12-05,45.25
2022-12-06,44.720001220703125
2022-12-07,44.90999984741211
2022-12-08,44.84000015258789
2022-12-09,45.06999969482422
2022-12-12,46.0
2022-12-13,46.58000183105469
2022-12-14,45.84000015258789
2022-12-15,44.5099983215332
2022-12-16,43.439998626708984
2022-12-19,43.83000183105469
2022-12-20,43.65999984741211
2022-12-21,44.54999923706055
2022-12-22,44.27000045776367
2022-12-23,44.400001525878906
2022-12-27,44.68000030517578
2022-12-28,43.959999084472656
2022-12-29,45.25
2022-12-30,44.97999954223633
2023-01-03,45.20000076293945
2023-01-04,46.70000076293945
