Date,SLB
2022-11-23,51.41999816894531
2022-11-25,50.83000183105469
2022-11-28,49.880001068115234
2022-11-29,51.04999923706055
2022-11-30,51.54999923706055
2022-12-01,51.7599983215332
2022-12-02,52.790000915527344
2022-12-05,51.380001068115234
2022-12-06,50.880001068115234
2022-12-07,49.79999923706055
2022-12-08,49.91999816894531
2022-12-09,46.970001220703125
2022-12-12,49.099998474121094
2022-12-13,51.04999923706055
2022-12-14,50.43000030517578
2022-12-15,50.11000061035156
2022-12-16,49.380001068115234
2022-12-19,49.83000183105469
2022-12-20,51.7599983215332
2022-12-21,53.310001373291016
2022-12-22,51.38999938964844
2022-12-23,52.9900016784668
2022-12-27,53.5
2022-12-28,52.599998474121094
2022-12-29,52.90999984741211
2022-12-30,53.459999084472656
2023-01-03,51.5
