Date,ZBH
2022-11-25,119.20999908447266
2022-11-28,117.66999816894531
2022-11-29,119.0
2022-11-30,120.0999984741211
2022-12-01,123.3499984741211
2022-12-02,122.97000122070312
2022-12-05,122.27999877929688
2022-12-06,121.38999938964844
2022-12-07,124.19000244140625
2022-12-08,125.83999633789062
2022-12-09,124.4000015258789
2022-12-12,126.12999725341797
2022-12-13,128.42999267578125
2022-12-14,128.24000549316406
2022-12-15,127.0199966430664
2022-12-16,125.58000183105469
2022-12-19,124.95999908447266
2022-12-20,125.43000030517578
2022-12-21,127.08000183105469
2022-12-22,126.79000091552734
2022-12-23,126.69000244140625
2022-12-27,127.27999877929688
2022-12-28,125.98999786376953
2022-12-29,127.83000183105469
2022-12-30,127.5
2023-01-03,127.27999877929688
2023-01-04,128.4600067138672
