Date,TEL
2022-11-23,127.26000213623047
2022-11-25,127.98999786376953
2022-11-28,124.62000274658203
2022-11-29,123.94000244140625
2022-11-30,126.12000274658203
2022-12-01,126.80000305175781
2022-12-02,125.77999877929688
2022-12-05,123.94999694824219
2022-12-06,120.83000183105469
2022-12-07,121.55999755859375
2022-12-08,122.12999725341797
2022-12-09,121.7300033569336
2022-12-12,123.87999725341797
2022-12-13,125.51000213623047
2022-12-14,124.25
2022-12-15,119.12000274658203
2022-12-16,116.44000244140625
2022-12-19,115.54000091552734
2022-12-20,114.8499984741211
2022-12-21,115.5
2022-12-22,114.2300033569336
2022-12-23,113.94999694824219
2022-12-27,113.86000061035156
2022-12-28,112.2300033569336
2022-12-29,115.63999938964844
2022-12-30,114.80000305175781
2023-01-03,114.66000366210938
