Date,BBY
2022-11-22,79.87999725341797
2022-11-23,82.38999938964844
2022-11-25,81.2300033569336
2022-11-28,82.08999633789062
2022-11-29,84.16000366210938
2022-11-30,85.30000305175781
2022-12-01,86.47000122070312
2022-12-02,86.5999984741211
2022-12-05,84.31999969482422
2022-12-06,83.27999877929688
2022-12-07,81.37000274658203
2022-12-08,83.4000015258789
2022-12-09,81.80999755859375
2022-12-12,82.47000122070312
2022-12-13,84.06999969482422
2022-12-14,80.81999969482422
2022-12-15,80.77999877929688
2022-12-16,79.4800033569336
2022-12-19,79.80000305175781
2022-12-20,79.23999786376953
2022-12-21,80.62999725341797
2022-12-22,80.45999908447266
2022-12-23,81.3499984741211
2022-12-27,81.86000061035156
2022-12-28,80.16999816894531
2022-12-29,81.23999786376953
2022-12-30,80.20999908447266
