Date,ROST
2022-11-25,115.94000244140625
2022-11-28,116.37000274658203
2022-11-29,116.79000091552734
2022-11-30,117.66999816894531
2022-12-01,117.9800033569336
2022-12-02,119.0
2022-12-05,117.36000061035156
2022-12-06,116.52999877929688
2022-12-07,115.36000061035156
2022-12-08,117.13999938964844
2022-12-09,114.88999938964844
2022-12-12,116.38999938964844
2022-12-13,117.52999877929688
2022-12-14,117.41999816894531
2022-12-15,113.69000244140625
2022-12-16,113.94999694824219
2022-12-19,114.91999816894531
2022-12-20,114.3499984741211
2022-12-21,115.12999725341797
2022-12-22,113.95999908447266
2022-12-23,115.4800033569336
2022-12-27,115.04000091552734
2022-12-28,114.29000091552734
2022-12-29,115.86000061035156
2022-12-30,116.06999969482422
2023-01-03,115.83000183105469
2023-01-04,117.97000122070312
