Date,WELL
2022-11-23,69.3499984741211
2022-11-25,69.52999877929688
2022-11-28,66.63999938964844
2022-11-29,69.19999694824219
2022-11-30,71.02999877929688
2022-12-01,70.98999786376953
2022-12-02,71.08000183105469
2022-12-05,70.19000244140625
2022-12-06,68.19999694824219
2022-12-07,65.0
2022-12-08,65.69999694824219
2022-12-09,66.66999816894531
2022-12-12,65.7300033569336
2022-12-13,66.26000213623047
2022-12-14,67.3499984741211
2022-12-15,67.12000274658203
2022-12-16,64.31999969482422
2022-12-19,63.70000076293945
2022-12-20,63.54999923706055
2022-12-21,63.970001220703125
2022-12-22,64.52999877929688
2022-12-23,65.06999969482422
2022-12-27,65.94000244140625
2022-12-28,64.83999633789062
2022-12-29,65.83000183105469
2022-12-30,65.55000305175781
2023-01-03,66.94999694824219
