Date,SWK
2022-11-25,83.08000183105469
2022-11-28,79.8499984741211
2022-11-29,80.51000213623047
2022-11-30,81.72000122070312
2022-12-01,82.31999969482422
2022-12-02,81.94000244140625
2022-12-05,78.62000274658203
2022-12-06,77.7300033569336
2022-12-07,77.25
2022-12-08,78.2699966430664
2022-12-09,79.2300033569336
2022-12-12,80.2699966430664
2022-12-13,82.79000091552734
2022-12-14,81.27999877929688
2022-12-15,78.06999969482422
2022-12-16,76.30999755859375
2022-12-19,74.79000091552734
2022-12-20,74.62999725341797
2022-12-21,73.2699966430664
2022-12-22,73.29000091552734
2022-12-23,73.94000244140625
2022-12-27,74.41000366210938
2022-12-28,72.18000030517578
2022-12-29,75.91000366210938
2022-12-30,75.12000274658203
2023-01-03,76.19000244140625
2023-01-04,78.5999984741211
