Date,ALGN
2022-11-25,194.6699981689453
2022-11-28,189.77999877929688
2022-11-29,191.8300018310547
2022-11-30,196.66000366210938
2022-12-01,201.77000427246094
2022-12-02,198.41000366210938
2022-12-05,187.91000366210938
2022-12-06,186.0399932861328
2022-12-07,187.3300018310547
2022-12-08,190.4600067138672
2022-12-09,188.80999755859375
2022-12-12,195.00999450683594
2022-12-13,198.5800018310547
2022-12-14,195.80999755859375
2022-12-15,201.97000122070312
2022-12-16,198.2100067138672
2022-12-19,198.75999450683594
2022-12-20,200.75
2022-12-21,204.27999877929688
2022-12-22,203.49000549316406
2022-12-23,203.6699981689453
2022-12-27,204.58999633789062
2022-12-28,201.5800018310547
2022-12-29,212.13999938964844
2022-12-30,210.89999389648438
2023-01-03,212.27999877929688
2023-01-04,224.6300048828125
