Date,CTAS
2022-11-23,113.8499984741211
2022-11-25,114.06749725341797
2022-11-28,113.58499908447266
2022-11-29,112.67250061035156
2022-11-30,115.44499969482422
2022-12-01,115.61250305175781
2022-12-02,115.63249969482422
2022-12-05,114.85250091552734
2022-12-06,113.15499877929688
2022-12-07,113.31999969482422
2022-12-08,113.78500366210938
2022-12-09,113.36499786376953
2022-12-12,114.3550033569336
2022-12-13,115.6050033569336
2022-12-14,114.81999969482422
2022-12-15,111.12750244140625
2022-12-16,111.31999969482422
2022-12-19,110.87750244140625
2022-12-20,110.98500061035156
2022-12-21,116.09750366210938
2022-12-22,113.125
2022-12-23,114.30999755859375
2022-12-27,114.75749969482422
2022-12-28,112.76000213623047
2022-12-29,114.23750305175781
2022-12-30,112.90499877929688
2023-01-03,112.24749755859375
