Date,ABT
2022-11-28,105.38999938964844
2022-11-29,105.0
2022-11-30,107.58000183105469
2022-12-01,107.93000030517578
2022-12-02,108.08999633789062
2022-12-05,105.41000366210938
2022-12-06,103.86000061035156
2022-12-07,104.80999755859375
2022-12-08,106.91999816894531
2022-12-09,107.51000213623047
2022-12-12,109.48999786376953
2022-12-13,111.52999877929688
2022-12-14,111.26000213623047
2022-12-15,108.5199966430664
2022-12-16,106.91000366210938
2022-12-19,106.58999633789062
2022-12-20,106.48999786376953
2022-12-21,108.13999938964844
2022-12-22,108.02999877929688
2022-12-23,108.18000030517578
2022-12-27,108.56999969482422
2022-12-28,107.83000183105469
2022-12-29,110.30999755859375
2022-12-30,109.79000091552734
2023-01-03,109.58000183105469
2023-01-04,111.20999908447266
2023-01-05,110.80000305175781
