Date,BX
2022-11-23,88.5199966430664
2022-11-25,90.0
2022-11-28,88.0999984741211
2022-11-29,88.20999908447266
2022-11-30,91.52999877929688
2022-12-01,85.04000091552734
2022-12-02,85.16000366210938
2022-12-05,81.97000122070312
2022-12-06,78.7300033569336
2022-12-07,77.63999938964844
2022-12-08,79.05000305175781
2022-12-09,78.4800033569336
2022-12-12,82.47000122070312
2022-12-13,83.44000244140625
2022-12-14,80.5999984741211
2022-12-15,77.4000015258789
2022-12-16,75.38999938964844
2022-12-19,73.4800033569336
2022-12-20,73.08999633789062
2022-12-21,75.83999633789062
2022-12-22,74.33999633789062
2022-12-23,74.91000366210938
2022-12-27,73.68000030517578
2022-12-28,72.16000366210938
2022-12-29,74.75
2022-12-30,74.19000244140625
2023-01-03,76.12999725341797
2023-01-04,78.01000213623047
