Date,OXY
2022-11-25,70.27999877929688
2022-11-28,68.2300033569336
2022-11-29,69.11000061035156
2022-11-30,69.48999786376953
2022-12-01,68.80000305175781
2022-12-02,68.20999908447266
2022-12-05,66.36000061035156
2022-12-06,64.13999938964844
2022-12-07,63.95000076293945
2022-12-08,63.709999084472656
2022-12-09,62.599998474121094
2022-12-12,64.02999877929688
2022-12-13,64.27999877929688
2022-12-14,63.68000030517578
2022-12-15,63.15999984741211
2022-12-16,62.529998779296875
2022-12-19,62.40999984741211
2022-12-20,62.369998931884766
2022-12-21,63.72999954223633
2022-12-22,61.79999923706055
2022-12-23,63.95000076293945
2022-12-27,64.33000183105469
2022-12-28,62.08000183105469
2022-12-29,62.279998779296875
2022-12-30,62.9900016784668
2023-01-03,61.04999923706055
2023-01-04,61.11000061035156
