Date,AFL
2022-11-25,72.5
2022-11-28,70.98999786376953
2022-11-29,70.87999725341797
2022-11-30,71.93000030517578
2022-12-01,71.91000366210938
2022-12-02,72.33999633789062
2022-12-05,71.04000091552734
2022-12-06,71.08999633789062
2022-12-07,71.19999694824219
2022-12-08,70.31999969482422
2022-12-09,69.95999908447266
2022-12-12,70.81999969482422
2022-12-13,70.66999816894531
2022-12-14,70.38999938964844
2022-12-15,69.33000183105469
2022-12-16,69.0199966430664
2022-12-19,68.91999816894531
2022-12-20,70.66000366210938
2022-12-21,71.45999908447266
2022-12-22,70.91000366210938
2022-12-23,71.75
2022-12-27,72.23999786376953
2022-12-28,71.47000122070312
2022-12-29,72.08000183105469
2022-12-30,71.94000244140625
2023-01-03,71.58000183105469
2023-01-04,71.91999816894531
