Date,ALLE
2022-11-23,113.98999786376953
2022-11-25,114.31999969482422
2022-11-28,112.25
2022-11-29,110.7699966430664
2022-11-30,113.6500015258789
2022-12-01,114.05999755859375
2022-12-02,114.5199966430664
2022-12-05,111.0199966430664
2022-12-06,109.16999816894531
2022-12-07,109.1500015258789
2022-12-08,110.86000061035156
2022-12-09,109.12999725341797
2022-12-12,110.25
2022-12-13,111.83000183105469
2022-12-14,109.7699966430664
2022-12-15,105.70999908447266
2022-12-16,103.86000061035156
2022-12-19,104.56999969482422
2022-12-20,104.4800033569336
2022-12-21,106.75
2022-12-22,105.18000030517578
2022-12-23,105.02999877929688
2022-12-27,105.9800033569336
2022-12-28,104.31999969482422
2022-12-29,106.73999786376953
2022-12-30,105.26000213623047
2023-01-03,107.69999694824219
