Date,ABBV
2022-11-25,159.6199951171875
2022-11-28,158.42999267578125
2022-11-29,158.1999969482422
2022-11-30,161.17999267578125
2022-12-01,161.6300048828125
2022-12-02,163.66000366210938
2022-12-05,163.94000244140625
2022-12-06,163.72000122070312
2022-12-07,165.39999389648438
2022-12-08,165.99000549316406
2022-12-09,163.05999755859375
2022-12-12,165.32000732421875
2022-12-13,164.7899932861328
2022-12-14,164.86000061035156
2022-12-15,163.10000610351562
2022-12-16,160.47999572753906
2022-12-19,161.49000549316406
2022-12-20,160.5800018310547
2022-12-21,162.2100067138672
2022-12-22,163.27000427246094
2022-12-23,163.10000610351562
2022-12-27,162.99000549316406
2022-12-28,162.22999572753906
2022-12-29,162.55999755859375
2022-12-30,161.61000061035156
2023-01-03,162.3800048828125
2023-01-04,163.69000244140625
