Date,J
2023-03-17,94.45279693603516
2023-03-20,95.2631607055664
2023-03-21,95.98162078857422
2023-03-22,94.34419250488281
2023-03-23,93.29991912841797
2023-03-24,93.8512954711914
2023-03-27,95.27986907958984
2023-03-28,95.42189025878906
2023-03-29,96.66666412353516
2023-03-30,97.04261016845703
2023-03-31,98.17042541503906
2023-04-03,98.26232147216797
2023-04-04,94.85379791259766
2023-04-05,93.90142059326172
2023-04-06,94.37760925292969
2023-04-10,95.13784790039062
2023-04-11,95.11278533935547
2023-04-12,95.5304946899414
2023-04-13,96.80868530273438
2023-04-14,96.08187103271484
2023-04-17,96.67501831054688
2023-04-18,96.52464294433594
2023-04-19,96.07351684570312
2023-04-20,96.5079345703125
2023-04-21,95.86466217041016
2023-04-24,95.6641616821289
2023-04-25,95.01252746582031
2023-04-26,94.1186294555664
2023-04-27,96.49958038330078
2023-04-28,96.45780944824219
2023-05-01,97.21804809570312
2023-05-02,95.58897399902344
2023-05-03,96.29072570800781
2023-05-04,96.32414245605469
2023-05-05,99.52381134033203
2023-05-08,97.98663330078125
2023-05-09,99.21470642089844
2023-05-10,95.76441192626953
2023-05-11,97.10108947753906
2023-05-12,96.19047546386719
2023-05-15,95.24645233154297
2023-05-16,94.8287353515625
2023-05-17,96.65830993652344
2023-05-18,97.30994415283203
2023-05-19,97.68588256835938
2023-05-22,97.79448699951172
2023-05-23,96.908935546875
2023-05-24,95.73934936523438
2023-05-25,94.31912994384766
2023-05-26,95.24645233154297
2023-05-30,94.5196304321289
2023-05-31,91.56224060058594
2023-06-01,92.58145141601562
2023-06-02,96.0651626586914
2023-06-05,95.49707794189453
2023-06-06,97.21804809570312
2023-06-07,96.94235229492188
2023-06-08,97.46867370605469
2023-06-09,97.10108947753906
2023-06-12,96.94235229492188
2023-06-13,97.43525695800781
2023-06-14,96.31578826904297
2023-06-15,97.10108947753906
2023-06-16,97.3851318359375
2023-06-20,96.49122619628906
2023-06-21,96.05680847167969
2023-06-22,97.22640228271484
2023-06-23,95.65580749511719
2023-06-26,96.14035034179688
2023-06-27,97.23475646972656
2023-06-28,97.16792297363281
2023-06-29,98.79698944091797
2023-06-30,99.32331085205078
2023-07-03,99.69924926757812
2023-07-05,101.42857360839844
2023-07-06,101.2364273071289
2023-07-07,101.2781982421875
2023-07-10,102.13032531738281
2023-07-11,104.53633880615234
2023-07-12,103.95154571533203
2023-07-13,104.24394226074219
2023-07-14,102.94068145751953
2023-07-17,102.00501251220703
2023-07-18,102.43107604980469
2023-07-19,102.13032531738281
2023-07-20,102.82372283935547
2023-07-21,105.23809814453125
2023-07-24,105.2631607055664
2023-07-25,105.4385986328125
2023-07-26,106.10693359375
2023-07-27,105.19632720947266
2023-07-28,104.67835998535156
2023-07-31,104.77025604248047
2023-08-01,105.72264099121094
2023-08-02,106.49958038330078
2023-08-03,106.47451782226562
2023-08-04,106.29072570800781
2023-08-07,107.3433609008789
2023-08-08,112.24728393554688
2023-08-09,113.92648315429688
2023-08-10,114.2021713256836
2023-08-11,114.00167083740234
2023-08-14,114.427734375
2023-08-15,113.95154571533203
2023-08-16,112.94903564453125
2023-08-17,111.11111450195312
2023-08-18,111.57059478759766
2023-08-21,113.75104522705078
2023-08-22,113.94319152832031
2023-08-23,113.73433685302734
2023-08-24,112.10526275634766
2023-08-25,112.44778442382812
2023-08-28,112.96575164794922
2023-08-29,113.23308563232422
2023-08-30,113.12448120117188
2023-08-31,112.63157653808594
2023-09-01,113.09941864013672
2023-09-05,110.81035614013672
2023-09-06,110.42606353759766
2023-09-07,110.01670837402344
2023-09-08,109.22306060791016
2023-09-11,109.74102020263672
2023-09-12,109.74937438964844
2023-09-13,109.59064483642578
2023-09-14,111.946533203125
2023-09-15,110.45948028564453
2023-09-18,111.29490661621094
2023-09-19,110.53466796875
2023-09-20,111.25313568115234
2023-09-21,109.54051971435547
2023-09-22,110.45948028564453
2023-09-25,110.50125122070312
2023-09-26,109.74102020263672
2023-09-27,113.76775360107422
2023-09-28,113.54219055175781
2023-09-29,114.03508758544922
2023-10-02,112.24728393554688
2023-10-03,111.2364273071289
2023-10-04,112.75688934326172
2023-10-05,112.27234649658203
2023-10-06,114.95405578613281
2023-10-09,117.0259017944336
2023-10-10,116.31578826904297
2023-10-11,117.25146484375
2023-10-12,115.71428680419922
2023-10-13,115.64745330810547
2023-10-16,115.47201538085938
2023-10-17,116.66666412353516
2023-10-18,112.92398071289062
2023-10-19,110.96073150634766
2023-10-20,110.70175170898438
2023-10-23,109.98329162597656
2023-10-24,110.60150146484375
2023-10-25,110.94403076171875
2023-10-26,111.16959381103516
2023-10-27,109.5572280883789
2023-10-30,109.60735321044922
2023-10-31,111.36174011230469
2023-11-01,108.73851013183594
2023-11-02,111.86299133300781
2023-11-03,111.92147064208984
2023-11-06,111.59565734863281
2023-11-07,111.42857360839844
