Date,BXP
2022-11-25,71.6500015258789
2022-11-28,69.58999633789062
2022-11-29,70.69000244140625
2022-11-30,72.08000183105469
2022-12-01,71.6500015258789
2022-12-02,70.70999908447266
2022-12-05,67.8499984741211
2022-12-06,65.33999633789062
2022-12-07,65.0
2022-12-08,66.2699966430664
2022-12-09,66.61000061035156
2022-12-12,67.68000030517578
2022-12-13,68.04000091552734
2022-12-14,69.54000091552734
2022-12-15,69.12000274658203
2022-12-16,67.27999877929688
2022-12-19,66.5199966430664
2022-12-20,66.95999908447266
2022-12-21,67.51000213623047
2022-12-22,68.25
2022-12-23,68.4000015258789
2022-12-27,68.9000015258789
2022-12-28,66.33999633789062
2022-12-29,67.54000091552734
2022-12-30,67.58000183105469
2023-01-03,66.62000274658203
2023-01-04,66.70999908447266
