Date,FRT
2022-06-03,111.91999816894531
2022-06-06,110.47000122070312
2022-06-07,112.26000213623047
2022-06-08,109.2300033569336
2022-06-09,105.16000366210938
2022-06-10,101.94999694824219
2022-06-13,96.81999969482422
2022-06-14,95.16000366210938
2022-06-15,95.93000030517578
2022-06-16,93.8499984741211
2022-06-17,94.70999908447266
2022-06-21,94.76000213623047
2022-06-22,94.33000183105469
2022-06-23,97.1500015258789
2022-06-24,99.52999877929688
2022-06-27,100.2699966430664
2022-06-28,98.27999877929688
2022-06-29,96.93000030517578
2022-06-30,95.73999786376953
2022-07-01,97.55999755859375
2022-07-05,96.86000061035156
2022-07-06,97.0999984741211
2022-07-07,97.41000366210938
2022-07-08,96.91999816894531
2022-07-11,97.37999725341797
2022-07-12,98.80000305175781
2022-07-13,96.9800033569336
2022-07-14,95.0
2022-07-15,97.06999969482422
2022-07-18,98.43000030517578
2022-07-19,100.94000244140625
2022-07-20,102.36000061035156
2022-07-21,102.29000091552734
2022-07-22,102.66000366210938
2022-07-25,103.0999984741211
2022-07-26,101.02999877929688
2022-07-27,102.4800033569336
2022-07-28,104.73999786376953
2022-07-29,105.61000061035156
2022-08-01,105.79000091552734
2022-08-02,104.11000061035156
2022-08-03,104.16999816894531
2022-08-04,105.04000091552734
2022-08-05,105.75
2022-08-08,107.12000274658203
2022-08-09,107.41000366210938
2022-08-10,109.37000274658203
2022-08-11,109.8499984741211
2022-08-12,111.68000030517578
2022-08-15,111.79000091552734
2022-08-16,113.0199966430664
2022-08-17,112.66000366210938
2022-08-18,112.04000091552734
2022-08-19,110.05000305175781
2022-08-22,106.94000244140625
2022-08-23,106.12000274658203
2022-08-24,106.19999694824219
2022-08-25,107.31999969482422
2022-08-26,104.7300033569336
2022-08-29,103.62999725341797
2022-08-30,102.72000122070312
2022-08-31,101.2699966430664
2022-09-01,101.29000091552734
2022-09-02,100.7699966430664
2022-09-06,103.19000244140625
2022-09-07,104.11000061035156
2022-09-08,102.45999908447266
2022-09-09,103.94000244140625
2022-09-12,105.2300033569336
2022-09-13,100.9800033569336
2022-09-14,100.33999633789062
2022-09-15,99.9800033569336
2022-09-16,100.33999633789062
2022-09-19,100.25
2022-09-20,96.27999877929688
2022-09-21,93.29000091552734
2022-09-22,90.45999908447266
2022-09-23,90.41999816894531
2022-09-26,88.02999877929688
2022-09-27,87.91000366210938
2022-09-28,90.81999969482422
2022-09-29,88.79000091552734
2022-09-30,90.12000274658203
2022-10-03,91.08999633789062
2022-10-04,93.55000305175781
2022-10-05,93.05999755859375
2022-10-06,91.94000244140625
2022-10-07,90.55000305175781
2022-10-10,89.19000244140625
2022-10-11,90.76000213623047
2022-10-12,90.4000015258789
2022-10-13,90.81999969482422
2022-10-14,89.16999816894531
2022-10-17,91.7699966430664
2022-10-18,93.08000183105469
2022-10-19,91.2300033569336
2022-10-20,90.55000305175781
2022-10-21,92.2699966430664
2022-10-24,92.9000015258789
2022-10-25,96.6500015258789
2022-10-26,95.73999786376953
2022-10-27,96.7699966430664
2022-10-28,98.87000274658203
2022-10-31,98.9800033569336
2022-11-01,100.80000305175781
2022-11-02,99.16999816894531
2022-11-03,99.41000366210938
2022-11-04,105.08999633789062
2022-11-07,103.91999816894531
2022-11-08,103.51000213623047
2022-11-09,100.94999694824219
2022-11-10,107.06999969482422
2022-11-11,107.7699966430664
2022-11-14,105.4800033569336
2022-11-15,107.73999786376953
2022-11-16,106.08000183105469
2022-11-17,107.58999633789062
2022-11-18,108.41000366210938
2022-11-21,107.97000122070312
2022-11-22,110.05999755859375
