Date,AIZ
2022-11-25,128.49000549316406
2022-11-28,125.22000122070312
2022-11-29,126.38999938964844
2022-11-30,128.22000122070312
2022-12-01,128.00999450683594
2022-12-02,128.47999572753906
2022-12-05,129.5500030517578
2022-12-06,129.30999755859375
2022-12-07,129.0500030517578
2022-12-08,130.02999877929688
2022-12-09,130.36000061035156
2022-12-12,132.10000610351562
2022-12-13,130.3800048828125
2022-12-14,125.63999938964844
2022-12-15,125.02999877929688
2022-12-16,123.62000274658203
2022-12-19,122.94999694824219
2022-12-20,122.05000305175781
2022-12-21,123.52999877929688
2022-12-22,122.97000122070312
2022-12-23,125.02999877929688
2022-12-27,124.56999969482422
2022-12-28,123.95999908447266
2022-12-29,126.62999725341797
2022-12-30,125.05999755859375
2023-01-03,127.31999969482422
2023-01-04,129.08999633789062
