Date,TAP
2022-11-25,55.58000183105469
2022-11-28,54.93000030517578
2022-11-29,54.91999816894531
2022-11-30,55.11000061035156
2022-12-01,54.970001220703125
2022-12-02,55.56999969482422
2022-12-05,54.5
2022-12-06,53.2599983215332
2022-12-07,53.04999923706055
2022-12-08,52.65999984741211
2022-12-09,52.459999084472656
2022-12-12,52.959999084472656
2022-12-13,52.61000061035156
2022-12-14,52.88999938964844
2022-12-15,51.7400016784668
2022-12-16,51.18000030517578
2022-12-19,51.689998626708984
2022-12-20,50.77000045776367
2022-12-21,51.45000076293945
2022-12-22,51.439998626708984
2022-12-23,51.93000030517578
2022-12-27,52.33000183105469
2022-12-28,51.380001068115234
2022-12-29,51.599998474121094
2022-12-30,51.52000045776367
2023-01-03,49.439998626708984
2023-01-04,51.36000061035156
