Date,BWA
2022-11-22,37.39436721801758
2022-11-23,36.98063278198242
2022-11-25,37.18309783935547
2022-11-28,36.55809783935547
2022-11-29,36.91020965576172
2022-11-30,37.4207763671875
2022-12-01,37.552818298339844
2022-12-02,37.5704231262207
2022-12-05,36.89260482788086
2022-12-06,36.091548919677734
2022-12-07,36.25
2022-12-08,35.862674713134766
2022-12-09,35.625
2022-12-12,36.390846252441406
2022-12-13,36.197181701660156
2022-12-14,36.23239517211914
2022-12-15,35.90668869018555
2022-12-16,35.68661880493164
2022-12-19,35.757041931152344
2022-12-20,35.61619567871094
2022-12-21,36.091548919677734
2022-12-22,34.83274459838867
2022-12-23,35.21126937866211
2022-12-27,35.34331130981445
2022-12-28,34.75352096557617
2022-12-29,35.61619567871094
2022-12-30,35.431339263916016
