Date,NWS
2022-11-23,18.479999542236328
2022-11-25,18.579999923706055
2022-11-28,18.459999084472656
2022-11-29,18.81999969482422
2022-11-30,19.450000762939453
2022-12-01,19.43000030517578
2022-12-02,19.43000030517578
2022-12-05,18.959999084472656
2022-12-06,18.729999542236328
2022-12-07,18.469999313354492
2022-12-08,18.389999389648438
2022-12-09,18.280000686645508
2022-12-12,18.3799991607666
2022-12-13,18.969999313354492
2022-12-14,18.979999542236328
2022-12-15,18.040000915527344
2022-12-16,18.06999969482422
2022-12-19,17.700000762939453
2022-12-20,17.75
2022-12-21,17.969999313354492
2022-12-22,18.06999969482422
2022-12-23,18.559999465942383
2022-12-27,18.559999465942383
2022-12-28,18.200000762939453
2022-12-29,18.459999084472656
2022-12-30,18.440000534057617
2023-01-03,18.489999771118164
