Date,AME
2022-11-28,139.36000061035156
2022-11-29,139.00999450683594
2022-11-30,142.4199981689453
2022-12-01,143.2899932861328
2022-12-02,144.38999938964844
2022-12-05,142.0800018310547
2022-12-06,139.82000732421875
2022-12-07,140.47999572753906
2022-12-08,140.75999450683594
2022-12-09,139.11000061035156
2022-12-12,142.07000732421875
2022-12-13,143.44000244140625
2022-12-14,141.75
2022-12-15,138.25
2022-12-16,136.77000427246094
2022-12-19,136.97999572753906
2022-12-20,137.75
2022-12-21,140.36000061035156
2022-12-22,138.32000732421875
2022-12-23,139.3800048828125
2022-12-27,140.1300048828125
2022-12-28,138.36000061035156
2022-12-29,140.3699951171875
2022-12-30,139.72000122070312
2023-01-03,140.52000427246094
2023-01-04,140.85000610351562
2023-01-05,137.97999572753906
