Date,AES
2022-11-25,28.610000610351562
2022-11-28,28.040000915527344
2022-11-29,28.260000228881836
2022-11-30,28.920000076293945
2022-12-01,28.719999313354492
2022-12-02,28.670000076293945
2022-12-05,28.3700008392334
2022-12-06,28.1299991607666
2022-12-07,27.979999542236328
2022-12-08,28.34000015258789
2022-12-09,28.520000457763672
2022-12-12,29.110000610351562
2022-12-13,29.270000457763672
2022-12-14,29.239999771118164
2022-12-15,28.709999084472656
2022-12-16,28.34000015258789
2022-12-19,28.200000762939453
2022-12-20,28.360000610351562
2022-12-21,28.739999771118164
2022-12-22,28.309999465942383
2022-12-23,28.68000030517578
2022-12-27,28.81999969482422
2022-12-28,28.31999969482422
2022-12-29,28.809999465942383
2022-12-30,28.760000228881836
2023-01-03,28.110000610351562
2023-01-04,27.280000686645508
