Date,HIG
2022-11-25,75.97000122070312
2022-11-28,75.05999755859375
2022-11-29,75.83000183105469
2022-11-30,76.37000274658203
2022-12-01,75.62999725341797
2022-12-02,75.83999633789062
2022-12-05,74.68000030517578
2022-12-06,75.04000091552734
2022-12-07,74.55999755859375
2022-12-08,74.8499984741211
2022-12-09,74.63999938964844
2022-12-12,75.0199966430664
2022-12-13,75.77999877929688
2022-12-14,75.20999908447266
2022-12-15,73.94999694824219
2022-12-16,74.20999908447266
2022-12-19,73.66000366210938
2022-12-20,74.8499984741211
2022-12-21,76.0199966430664
2022-12-22,75.37999725341797
2022-12-23,76.12999725341797
2022-12-27,76.61000061035156
2022-12-28,75.68000030517578
2022-12-29,76.37999725341797
2022-12-30,75.83000183105469
2023-01-03,75.3499984741211
2023-01-04,76.81999969482422
