Date,JBL
2022-11-23,70.44999694824219
2022-11-25,70.62999725341797
2022-11-28,69.08999633789062
2022-11-29,68.88999938964844
2022-11-30,72.19000244140625
2022-12-01,72.55000305175781
2022-12-02,71.7699966430664
2022-12-05,70.87999725341797
2022-12-06,70.77999877929688
2022-12-07,70.58000183105469
2022-12-08,71.75
2022-12-09,71.47000122070312
2022-12-12,72.05000305175781
2022-12-13,72.86000061035156
2022-12-14,72.5999984741211
2022-12-15,68.3499984741211
2022-12-16,69.06999969482422
2022-12-19,68.23999786376953
2022-12-20,69.19000244140625
2022-12-21,70.30000305175781
2022-12-22,69.3499984741211
2022-12-23,69.01000213623047
2022-12-27,68.94999694824219
2022-12-28,67.2699966430664
2022-12-29,68.44999694824219
2022-12-30,68.19999694824219
2023-01-03,67.18000030517578
2023-01-04,66.0
