Date,ANET
2022-11-25,135.75999450683594
2022-11-28,133.6999969482422
2022-11-29,133.7100067138672
2022-11-30,139.3000030517578
2022-12-01,139.77999877929688
2022-12-02,135.0399932861328
2022-12-05,132.8300018310547
2022-12-06,129.0399932861328
2022-12-07,126.76000213623047
2022-12-08,128.1300048828125
2022-12-09,127.9000015258789
2022-12-12,130.9600067138672
2022-12-13,133.02000427246094
2022-12-14,130.99000549316406
2022-12-15,125.58000183105469
2022-12-16,123.66000366210938
2022-12-19,122.55000305175781
2022-12-20,121.7699966430664
2022-12-21,123.33000183105469
2022-12-22,120.37000274658203
2022-12-23,119.7699966430664
2022-12-27,118.86000061035156
2022-12-28,119.16999816894531
2022-12-29,121.87999725341797
2022-12-30,121.3499984741211
2023-01-03,120.91000366210938
2023-01-04,113.83999633789062
