Date,L
2022-11-25,57.40999984741211
2022-11-28,56.77000045776367
2022-11-29,57.779998779296875
2022-11-30,58.150001525878906
2022-12-01,58.040000915527344
2022-12-02,57.66999816894531
2022-12-05,56.33000183105469
2022-12-06,57.119998931884766
2022-12-07,56.2400016784668
2022-12-08,56.380001068115234
2022-12-09,56.47999954223633
2022-12-12,56.689998626708984
2022-12-13,56.75
2022-12-14,56.25
2022-12-15,55.90999984741211
2022-12-16,55.79999923706055
2022-12-19,54.95000076293945
2022-12-20,55.779998779296875
2022-12-21,57.41999816894531
2022-12-22,57.189998626708984
2022-12-23,57.849998474121094
2022-12-27,58.599998474121094
2022-12-28,57.880001068115234
2022-12-29,58.66999816894531
2022-12-30,58.33000183105469
2023-01-03,58.59000015258789
2023-01-04,59.27000045776367
