Date,PAYC
2022-11-28,325.2300109863281
2022-11-29,321.9800109863281
2022-11-30,339.1000061035156
2022-12-01,346.2200012207031
2022-12-02,339.8699951171875
2022-12-05,315.4700012207031
2022-12-06,312.6700134277344
2022-12-07,308.9700012207031
2022-12-08,318.760009765625
2022-12-09,314.1300048828125
2022-12-12,325.94000244140625
2022-12-13,328.7699890136719
2022-12-14,327.7200012207031
2022-12-15,314.92999267578125
2022-12-16,311.3999938964844
2022-12-19,309.5899963378906
2022-12-20,303.82000732421875
2022-12-21,310.3599853515625
2022-12-22,303.7900085449219
2022-12-23,305.1700134277344
2022-12-27,301.6199951171875
2022-12-28,302.6300048828125
2022-12-29,311.8699951171875
2022-12-30,310.30999755859375
2023-01-03,304.6300048828125
2023-01-04,303.8999938964844
2023-01-05,294.6199951171875
