Date,ALB
2022-11-28,266.1099853515625
2022-11-29,270.0199890136719
2022-11-30,277.989990234375
2022-12-01,275.2900085449219
2022-12-02,284.2799987792969
2022-12-05,265.2300109863281
2022-12-06,257.989990234375
2022-12-07,257.6099853515625
2022-12-08,256.0299987792969
2022-12-09,253.25
2022-12-12,259.3599853515625
2022-12-13,261.9100036621094
2022-12-14,247.86000061035156
2022-12-15,240.5
2022-12-16,242.86000061035156
2022-12-19,233.33999633789062
2022-12-20,233.5
2022-12-21,232.6300048828125
2022-12-22,225.97999572753906
2022-12-23,226.9600067138672
2022-12-27,214.16000366210938
2022-12-28,214.0399932861328
2022-12-29,217.47000122070312
2022-12-30,216.86000061035156
2023-01-03,214.5
2023-01-04,223.57000732421875
2023-01-05,218.61000061035156
2023-01-06,221.63999938964844
