Date,MOS
2022-11-25,51.77000045776367
2022-11-28,50.2599983215332
2022-11-29,50.72999954223633
2022-11-30,51.29999923706055
2022-12-01,49.099998474121094
2022-12-02,49.310001373291016
2022-12-05,48.189998626708984
2022-12-06,47.709999084472656
2022-12-07,47.33000183105469
2022-12-08,47.0
2022-12-09,46.810001373291016
2022-12-12,47.2599983215332
2022-12-13,47.029998779296875
2022-12-14,45.40999984741211
2022-12-15,45.29999923706055
2022-12-16,45.36000061035156
2022-12-19,44.540000915527344
2022-12-20,45.34000015258789
2022-12-21,45.849998474121094
2022-12-22,44.72999954223633
2022-12-23,45.13999938964844
2022-12-27,44.599998474121094
2022-12-28,43.439998626708984
2022-12-29,43.40999984741211
2022-12-30,43.869998931884766
2023-01-03,42.630001068115234
2023-01-04,43.27000045776367
