Date,CHT
2022-11-25,35.869998931884766
2022-11-28,35.310001373291016
2022-11-29,35.720001220703125
2022-11-30,36.52000045776367
2022-12-01,36.20000076293945
2022-12-02,36.40999984741211
2022-12-05,36.56999969482422
2022-12-06,36.5
2022-12-07,36.470001220703125
2022-12-08,36.220001220703125
2022-12-09,36.400001525878906
2022-12-12,36.34000015258789
2022-12-13,36.41999816894531
2022-12-14,36.310001373291016
2022-12-15,36.119998931884766
2022-12-16,35.869998931884766
2022-12-19,35.9900016784668
2022-12-20,36.11000061035156
2022-12-21,36.25
2022-12-22,36.52000045776367
2022-12-23,36.56999969482422
2022-12-27,36.810001373291016
2022-12-28,36.529998779296875
2022-12-29,36.7400016784668
2022-12-30,36.59000015258789
2023-01-03,37.279998779296875
2023-01-04,37.09000015258789
