Date,JHX
2022-11-23,19.549999237060547
2022-11-25,20.020000457763672
2022-11-28,19.34000015258789
2022-11-29,19.420000076293945
2022-11-30,19.850000381469727
2022-12-01,20.739999771118164
2022-12-02,20.989999771118164
2022-12-05,20.18000030517578
2022-12-06,19.219999313354492
2022-12-07,18.90999984741211
2022-12-08,19.8799991607666
2022-12-09,19.739999771118164
2022-12-12,20.219999313354492
2022-12-13,20.149999618530273
2022-12-14,20.200000762939453
2022-12-15,19.5
2022-12-16,19.579999923706055
2022-12-19,19.110000610351562
2022-12-20,18.3799991607666
2022-12-21,18.3799991607666
2022-12-22,17.549999237060547
2022-12-23,17.920000076293945
2022-12-27,17.809999465942383
2022-12-28,17.469999313354492
2022-12-29,17.93000030517578
2022-12-30,17.940000534057617
2023-01-03,17.950000762939453
