Date,UNP
2022-11-28,208.52000427246094
2022-11-29,212.77000427246094
2022-11-30,217.42999267578125
2022-12-01,215.92999267578125
2022-12-02,214.72999572753906
2022-12-05,211.05999755859375
2022-12-06,211.13999938964844
2022-12-07,212.22000122070312
2022-12-08,213.02999877929688
2022-12-09,211.35000610351562
2022-12-12,215.8300018310547
2022-12-13,218.02000427246094
2022-12-14,217.5800018310547
2022-12-15,212.30999755859375
2022-12-16,210.2100067138672
2022-12-19,206.38999938964844
2022-12-20,205.41000366210938
2022-12-21,208.4199981689453
2022-12-22,208.66000366210938
2022-12-23,209.91000366210938
2022-12-27,210.32000732421875
2022-12-28,206.8699951171875
2022-12-29,209.22000122070312
2022-12-30,207.07000732421875
2023-01-03,207.5800018310547
2023-01-04,209.24000549316406
2023-01-05,203.0800018310547
