Date,SRE
2022-11-25,81.7300033569336
2022-11-28,81.54000091552734
2022-11-29,80.66000366210938
2022-11-30,83.09500122070312
2022-12-01,83.61000061035156
2022-12-02,82.96499633789062
2022-12-05,81.84500122070312
2022-12-06,82.67500305175781
2022-12-07,81.20999908447266
2022-12-08,81.05000305175781
2022-12-09,80.57499694824219
2022-12-12,82.76499938964844
2022-12-13,82.33000183105469
2022-12-14,81.875
2022-12-15,80.95500183105469
2022-12-16,78.66000366210938
2022-12-19,78.63999938964844
2022-12-20,78.26499938964844
2022-12-21,78.37000274658203
2022-12-22,78.5199966430664
2022-12-23,78.875
2022-12-27,79.41999816894531
2022-12-28,78.16000366210938
2022-12-29,77.94000244140625
2022-12-30,77.2699966430664
2023-01-03,76.8550033569336
2023-01-04,77.5199966430664
