Date,COF
2022-11-23,101.62999725341797
2022-11-25,101.72000122070312
2022-11-28,99.58000183105469
2022-11-29,102.08000183105469
2022-11-30,103.23999786376953
2022-12-01,99.31999969482422
2022-12-02,97.69000244140625
2022-12-05,95.0199966430664
2022-12-06,94.02999877929688
2022-12-07,93.2300033569336
2022-12-08,93.58000183105469
2022-12-09,94.41000366210938
2022-12-12,97.5199966430664
2022-12-13,98.86000061035156
2022-12-14,96.5999984741211
2022-12-15,93.8499984741211
2022-12-16,90.0999984741211
2022-12-19,87.87000274658203
2022-12-20,88.38999938964844
2022-12-21,89.72000122070312
2022-12-22,89.48999786376953
2022-12-23,90.69000244140625
2022-12-27,90.75
2022-12-28,89.69999694824219
2022-12-29,92.66999816894531
2022-12-30,92.95999908447266
2023-01-03,92.97000122070312
