Date,TTE
2022-11-25,60.61000061035156
2022-11-28,59.599998474121094
2022-11-29,60.9900016784668
2022-11-30,62.41999816894531
2022-12-01,61.70000076293945
2022-12-02,60.61000061035156
2022-12-05,59.77000045776367
2022-12-06,60.119998931884766
2022-12-07,59.25
2022-12-08,59.7599983215332
2022-12-09,58.83000183105469
2022-12-12,59.7599983215332
2022-12-13,61.65999984741211
2022-12-14,60.66999816894531
2022-12-15,60.36000061035156
2022-12-16,59.599998474121094
2022-12-19,59.95000076293945
2022-12-20,60.79999923706055
2022-12-21,63.130001068115234
2022-12-22,62.15999984741211
2022-12-23,63.209999084472656
2022-12-27,63.380001068115234
2022-12-28,62.4900016784668
2022-12-29,62.15999984741211
2022-12-30,62.08000183105469
2023-01-03,61.439998626708984
2023-01-04,61.08000183105469
